,pvalue
MYC,9.775151343193992e-10
ERCC6,2.6917963470248628e-09
PLCB1,3.7019378881311646e-08
TNXB,7.130784906111126e-08
ITSN1,1.6349194386268791e-07
SRSF2,1.8730414436072538e-07
TEP1,2.1368486615212353e-07
LRP2,3.7111567738871786e-07
TP53,3.7338774709637024e-07
CHD8,5.392763678597875e-07
TLN2,6.109252342816503e-07
KDM5C,6.109252342816503e-07
JAK2,7.991090528521866e-07
CREBBP,8.225349751549478e-07
ERBB3,1.1133048730689483e-06
TPR,1.1133048730689483e-06
ASXL2,1.1133048730689483e-06
XPO1,1.483525289400344e-06
PTPRC,1.5910506668958725e-06
TNR,1.5910506668958725e-06
MAP3K4,1.5910506668958725e-06
ITGA8,1.5910506668958725e-06
POM121,1.5910506668958725e-06
TSHR,1.5910506668958725e-06
PCM1,1.5910506668958725e-06
FAF1,1.5910506668958725e-06
EPHA3,1.5910506668958725e-06
KTN1,1.5910506668958725e-06
IGF1R,1.8169078327796432e-06
RELN,2.3860378096097404e-06
H3F3A,2.489040536070833e-06
SPEN,3.0724876533137217e-06
ARID1B,3.0724876533137217e-06
KDM6A,3.5891634260820017e-06
IL1RAP,3.67620713144468e-06
CLIP1,3.67620713144468e-06
MLH3,3.67620713144468e-06
CHD3,3.947428330704605e-06
LAMA3,3.947428330704605e-06
CRNKL1,3.947428330704605e-06
ARHGAP29,3.947428330704605e-06
MET,3.947428330704605e-06
TERT,4.028083869015287e-06
ATP1A1,4.956038826394035e-06
APC,5.0137866471142975e-06
CACNA1E,5.135288200822921e-06
COL6A3,5.549247602671842e-06
FAT2,5.549247602671842e-06
AHCTF1,5.549247602671842e-06
EPHA4,6.735205526585569e-06
STRN,6.735205526585569e-06
BRCA2,6.94993355681265e-06
PRDM1,7.621689665053543e-06
RPTOR,7.621689665053543e-06
ALK,7.621689665053543e-06
TRRAP,7.621689665053543e-06
MAP3K5,7.621689665053543e-06
GLI2,7.621689665053543e-06
PIK3C2B,7.621689665053543e-06
AKAP9,8.420123814796488e-06
NCOR1,8.487204076143964e-06
LRP1,8.833683886387182e-06
RET,8.953059461564528e-06
CHD9,8.953059461564528e-06
NCOA3,9.974215795184447e-06
BPTF,1.1394987372377813e-05
CNOT1,1.1394987372377813e-05
DOCK1,1.2882568002456633e-05
ITGA10,1.2882568002456633e-05
EIF4G1,1.2882568002456633e-05
VANGL2,1.2882568002456633e-05
COL5A2,1.2882568002456633e-05
RB1,1.3805411314193155e-05
SPOP,1.4479891076864481e-05
CACNA1D,1.5617864361655475e-05
ABCB4,1.8118233872018e-05
KALRN,1.8118233872018e-05
EIF4A2,1.8118233872018e-05
SRGAP1,1.8118233872018e-05
DHX9,1.8118233872018e-05
ARAP3,1.8118233872018e-05
LRPPRC,1.8118233872018e-05
NUP98,1.8118233872018e-05
TET1,1.8118233872018e-05
DUSP10,1.8118233872018e-05
ARHGEF12,1.8118233872018e-05
MED12,2.247019868477469e-05
ZFHX3,2.247019868477469e-05
BCOR,2.247019868477469e-05
ERBB2,2.404863927499427e-05
FLNC,2.9346209659360382e-05
ASH1L,2.9346209659360382e-05
PDGFRA,2.9346209659360382e-05
GLI1,3.017850879512021e-05
PARP3,3.017850879512021e-05
SEC24D,3.017850879512021e-05
TEC,3.017850879512021e-05
IL4R,3.017850879512021e-05
RAPGEF2,3.017850879512021e-05
PTGS1,3.017850879512021e-05
PPP1R12A,3.017850879512021e-05
NF1,3.284348311256771e-05
PRPF8,3.3807566466810955e-05
INPPL1,3.4773920296508685e-05
SPRY1,3.4773920296508685e-05
PTK2,3.4773920296508685e-05
KDM5A,3.4773920296508685e-05
DAAM1,3.4773920296508685e-05
ABCB1,3.834486081270641e-05
PTPRF,3.834486081270641e-05
LTBP1,3.834486081270641e-05
APAF1,3.834486081270641e-05
ARHGAP5,3.834486081270641e-05
INSR,3.834486081270641e-05
SIN3A,3.834486081270641e-05
LRP4,3.834486081270641e-05
JAK1,4.766801399906789e-05
SMAD4,4.766801399906789e-05
CHD4,4.766801399906789e-05
BRAF,5.173886590305363e-05
SKP2,5.4886239333867404e-05
CAD,5.658494489486442e-05
TAF1,5.658494489486442e-05
SMO,5.658494489486442e-05
GRIN2A,5.658494489486442e-05
FLNA,5.658494489486442e-05
CACNA1B,6.769537692557057e-05
MYH9,6.769537692557057e-05
PBRM1,6.769537692557057e-05
TP53BP1,6.769537692557057e-05
NOTCH2,6.769537692557057e-05
CACNA1C,6.769537692557057e-05
LAMB4,6.769537692557057e-05
CD180,7.467432778533377e-05
RHOT1,7.467432778533377e-05
WASF3,7.467432778533377e-05
IDH2,7.47093073195021e-05
NSD1,8.236141018388945e-05
LIFR,8.236141018388945e-05
ZMYM2,8.236141018388945e-05
ARFGEF1,8.236141018388945e-05
CEP290,8.236141018388945e-05
RANBP2,8.236141018388945e-05
TNN,8.236141018388945e-05
WNK1,8.236141018388945e-05
BLM,8.236141018388945e-05
TET2,8.236141018388945e-05
GNAS,9.346263151377096e-05
PCDH18,9.532315783434916e-05
PLCB4,9.532315783434916e-05
MSH6,9.532315783434916e-05
MLH1,9.532315783434916e-05
MYLK,9.532315783434916e-05
COL4A2,9.532315783434916e-05
ATRX,9.615372340158192e-05
CHD6,9.615372340158192e-05
PIK3R1,0.00010138989232436356
ANK3,0.00010660820690149068
FAT1,0.00010660820690149068
PRKDC,0.00010660820690149068
NUMA1,0.000160197097397933
NRG3,0.000160197097397933
LAMA4,0.000160197097397933
PIAS2,0.000160197097397933
NFATC3,0.000160197097397933
AGRN,0.000160197097397933
GNA11,0.000160197097397933
KDR,0.000160197097397933
EXO1,0.000160197097397933
PIP5K1A,0.000160197097397933
MAP4K4,0.000160197097397933
COL11A1,0.000160197097397933
UPF3B,0.000160197097397933
RHOA,0.000160197097397933
LRP8,0.000160197097397933
BAZ2B,0.00018085756133609637
PTCH1,0.00018085756133609637
MTOR,0.00018085756133609637
MGA,0.00018085756133609637
AKT3,0.0002030176082553631
NUP214,0.0002315755751680606
SETDB1,0.0002315755751680606
TLR8,0.0002315755751680606
PARP4,0.0002315755751680606
MAP2K1,0.0002315755751680606
ROS1,0.0002315755751680606
CTNNA2,0.0002315755751680606
CCAR1,0.0002315755751680606
JAK3,0.0003112840476651716
MLLT4,0.00031777249585299676
CACNA1A,0.00031777249585299676
MACF1,0.0003775990378549267
PTEN,0.0004152167704071951
LAMB1,0.0004442980772175946
MYH10,0.0004442980772175946
DLG1,0.0004442980772175946
ERBB4,0.0004442980772175946
PTPN13,0.0004442980772175946
MYH11,0.0004442980772175946
ATR,0.0004442980772175946
ABCB11,0.0004442980772175946
ROCK2,0.0005346769268488723
KL,0.0005346769268488723
PMS1,0.0005346769268488723
CYP4A11,0.0005346769268488723
NRAS,0.0005346769268488723
MYCN,0.0005346769268488723
DDX3X,0.0005346769268488723
ANAPC1,0.0005346769268488723
LIMA1,0.0005346769268488723
PARD3,0.0005346769268488723
FANCI,0.0005346769268488723
MSH2,0.0005346769268488723
EML4,0.0005346769268488723
SPRED1,0.0005346769268488723
LIG3,0.0005346769268488723
PHLPP1,0.0005346769268488723
AFF1,0.0005346769268488723
CTNNA1,0.0005346769268488723
ITK,0.0005346769268488723
HIP1,0.0005346769268488723
SOX9,0.0005346769268488723
SEC31A,0.0005346769268488723
RFC1,0.0005346769268488723
FGFR2,0.0006481029986715402
ATM,0.0006559771686630062
MDM2,0.0008495814471850608
CD36,0.0008896760142904343
SYK,0.0008896760142904343
REL,0.0008896760142904343
ITGA5,0.0008896760142904343
IL12RB2,0.0008896760142904343
PAK3,0.0008896760142904343
STAT5B,0.0008896760142904343
CAV1,0.0008896760142904343
ITCH,0.0008896760142904343
SMAD2,0.000962010230902202
FLNB,0.000962010230902202
ARID2,0.000962010230902202
CCNB3,0.000962010230902202
ARID1A,0.0011898917840734526
COL4A4,0.0012671880869557727
BRIP1,0.0012671880869557727
ERBB2IP,0.0012671880869557727
TCF12,0.0012671880869557727
RASGRF1,0.0012671880869557727
TNC,0.0012671880869557727
KLF4,0.0012671880869557727
CNTNAP1,0.0012671880869557727
NOS2,0.0012671880869557727
PCSK5,0.0012671880869557727
GTSE1,0.0012671880869557727
CACNA1H,0.0012671880869557727
SMC1A,0.0012671880869557727
PIK3CB,0.0012671880869557727
FBXW7,0.0015094100957607711
COL5A1,0.0016217224052563902
TRIO,0.0022653318883214804
TLR4,0.0022653318883214804
MAGI2,0.0022653318883214804
NOTCH3,0.0022653318883214804
PTPRU,0.0022653318883214804
LAMA1,0.0024309110214298024
COL6A6,0.0024309110214298024
TLN1,0.0024309110214298024
PCK1,0.002677082183016148
PER1,0.002677082183016148
ABCC3,0.002677082183016148
SS18,0.002677082183016148
EWSR1,0.002677082183016148
KIR3DL2,0.002677082183016148
SOS2,0.002677082183016148
NFKB2,0.002677082183016148
TSC2,0.002677082183016148
TYK2,0.002677082183016148
INPP4A,0.002677082183016148
CSF1,0.002677082183016148
DAPK1,0.002677082183016148
CPT2,0.002677082183016148
IBSP,0.002677082183016148
CACNA2D1,0.002677082183016148
TNPO1,0.002677082183016148
RAD50,0.002677082183016148
ARID5B,0.002677082183016148
KIT,0.0037918111246435533
AKT1,0.0037918111246435533
EP300,0.0037918111246435533
U2AF1,0.004124736819429643
STAG1,0.004124736819429643
ACTN2,0.004124736819429643
COL5A3,0.004124736819429643
CHD1L,0.004124736819429643
NFE2L2,0.004124736819429643
NLRC4,0.004124736819429643
PPP2R1A,0.0053370760578321675
USP8,0.0057486902002966715
BMPR1B,0.0057486902002966715
CLSPN,0.0057486902002966715
A2M,0.0057486902002966715
CBLC,0.0057486902002966715
SORBS1,0.0057486902002966715
PGK1,0.0057486902002966715
WRN,0.0057486902002966715
AOX1,0.0057486902002966715
DKC1,0.0057486902002966715
NTRK1,0.0057486902002966715
CD19,0.0057486902002966715
WAS,0.0057486902002966715
VCL,0.0057486902002966715
ITGA4,0.0057486902002966715
ALDH1A3,0.0057486902002966715
PLA2G4A,0.0057486902002966715
ABL1,0.006659413316318574
DNMT1,0.007436228485532416
FLT3,0.007687650016647386
MPL,0.007687650016647386
HSPG2,0.009478054594367052
DCC,0.009478054594367052
MYH14,0.009478054594367052
CDKN2A,0.009988213369409929
BRCA1,0.010097210920252772
RICTOR,0.010465614560116895
EPHA1,0.010465614560116895
LAMC1,0.010465614560116895
PIK3R4,0.010465614560116895
NFE2L1,0.010465614560116895
MUC20,0.010465614560116895
CACNA1G,0.010465614560116895
PLD1,0.010465614560116895
PTPRM,0.010465614560116895
EPC1,0.010465614560116895
NUP107,0.010465614560116895
CYP4F11,0.010465614560116895
BCL9,0.010465614560116895
TFE3,0.010465614560116895
NEDD4L,0.010465614560116895
CUL4B,0.010465614560116895
AKT2,0.013612622205852585
AR,0.013887330403870222
F8,0.013887330403870222
ROBO2,0.016693220623099338
PIK3C2G,0.016693220623099338
MYO5A,0.016693220623099338
FANCD2,0.016693220623099338
CASC5,0.016693220623099338
BMPR2,0.016693220623099338
CACNA2D3,0.016693220623099338
SPTAN1,0.016693220623099338
DICER1,0.016693220623099338
PLCG1,0.016693220623099338
COL4A1,0.016693220623099338
COL1A2,0.016693220623099338
UBR5,0.019088712256365114
FOXL2,0.019088712256365114
STAG2,0.019088712256365114
NOTCH4,0.024284767860426826
FN1,0.024284767860426826
POLE,0.024284767860426826
CACNA1F,0.02463427902576229
ULK3,0.02608013532737341
CD22,0.02608013532737341
CBL,0.02608013532737341
MYLK2,0.02608013532737341
PRLR,0.02608013532737341
RUNX1T1,0.02608013532737341
COL2A1,0.02608013532737341
IRAK2,0.02608013532737341
ANAPC7,0.02608013532737341
PTPN11,0.02608013532737341
DDX5,0.02608013532737341
SLC27A4,0.02608013532737341
SERPINE1,0.02608013532737341
DKK4,0.02608013532737341
FGF13,0.02608013532737341
NFATC2,0.02608013532737341
CTNNA3,0.02608013532737341
MDM4,0.029929659997573625
BCL2,0.03264116332838283
NOTCH1,0.035154088479710625
CBLB,0.035154088479710625
COL4A6,0.035154088479710625
ARID4B,0.035154088479710625
FAT4,0.04035487688932405
RASGRF2,0.04462989624980236
FZD3,0.04462989624980236
HDAC5,0.04462989624980236
PIK3CG,0.04462989624980236
RPS6KA6,0.04462989624980236
MCM7,0.04462989624980236
HGF,0.04462989624980236
EPAS1,0.04462989624980236
ARAF,0.04462989624980236
TBL1X,0.04462989624980236
ADCY1,0.04462989624980236
ACTB,0.04462989624980236
POLD1,0.04462989624980236
EGF,0.04462989624980236
ESR1,0.04462989624980236
PIK3C3,0.04462989624980236
ITGA1,0.04462989624980236
ROCK1,0.04462989624980236
RAPGEF1,0.04462989624980236
GPHN,0.04462989624980236
C5,0.04462989624980236
