NN-proppr-3,NN-proppr-4,NN-proppr-5,NN-proppr-6,NN-proppr-7,NN-proppr-8,NN-proppr-9,NN-proppr-10,union,intersection
Sn,0.610,0.588,0.483,0.472,0.319,0.263,0.450,0.304,0.625,0.351
PPV,0.542,0.550,0.585,0.546,0.544,0.544,0.545,0.546,0.619,0.664
ACC,0.575,0.569,0.532,0.508,0.417,0.378,0.495,0.408,0.622,0.483
