NN-proppr-3,NN-proppr-4,NN-proppr-5,NN-proppr-6,NN-proppr-7,NN-proppr-8,NN-proppr-9,NN-proppr-10,union,intersection
Precision+,0.250,0.200,0.183,0.175,0.071,0.071,0.175,0.083,0.150,0.083
Recall+,0.188,0.200,0.138,0.175,0.125,0.125,0.175,0.125,0.225,0.125
Fmeasure+,0.214,0.200,0.157,0.175,0.091,0.091,0.175,0.100,0.180,0.100
AUPR+,0.250,0.200,0.183,0.175,0.071,0.071,0.175,0.083,0.150,0.083
